sentiment,texts
positive,Good Morning WILLEN ISLAND Spring definitely sprung http enjoy
positive,Watching One Fine Day eating cereal Start good sunday good movie
neutral,Concord Irvine CA
negative,OMG sore shoulder
positive,welcome kiddo picture btw Love shades
neutral,mornin Twitterville took day Tweet n yesterday get back today
positive,goin ta bed goodnite jessica
positive,lmao witty wacko loves
negative,refuse get excited want let happens long June die
negative,believe would believe Horizon chill goes spine whenever hear line
positive,love days school one friday
negative,u never sent carrie ur miss
neutral,booooo senior yearbook sucks thanks memories bhs
neutral,heyy terrence u come school May talent show
negative,theres much light pollution see stars
negative,sick n tired people steal people work
neutral,back bed
negative,trouble viewing well tube reason
negative,wasnt workin hours id gettin ratarsed point couldnt even see let alone stand feel
positive,warmfuzzies friend
negative,http really miss
positive,happy sunday
positive,Please let know allright DE need know first wake little enjoy cofee
positive,well maybe someone care
negative,Awww nice
negative,slaving away work
positive,US tweeps forget call mom today
neutral,Fml ran mile got scraped yearbook got math test Eff today
positive,haha agree test dummy go say whatever want always love magic
negative,dont work saturday suppose hang friend watch still hang JONAS
negative,Going tmobile need new phone working anymore
neutral,Raaaaaaaaaaagh early morning even early Must leave work minutes
neutral,go
negative,OOO YUK thats good Im retching tweet
negative,films usually handled Fuji Oh met girl San Diego Kwento soon miss youuu
neutral,lol thats less ive got towards cruise
negative,seized bolt ya still stuck bushing actually seized bolt lame Perhaps heat work
positive,Hearing songs brighten someone day always makes grin
neutral,r tweets people oh right opened houseofrock last night still bed
neutral,Working Canada Shoots information Coming way soon expressed interest email address Eh
neutral,left
negative,Hates broken wrist PE next ugh
positive,watching SNL guess Justin Timberlake OMG funny hahahah
neutral,Last day CGI
neutral,Say Hi Buy Shot Lol Jk
neutral,thank playing moment ago actually different even chill version spooky haha
positive,Well bed cant wait party Mother Day like hours
negative,gon na mad hungry get home Forgot money
neutral,guys coming Alabama supposed tonight cancelled great seats
neutral,hey plz look http u think plz tell
positive,trending topics ahh Happy Birthday Pierre Bouvier
positive,http come apart easy enough
negative,sadly brother told skateparks lives BUMMER
neutral,Tell X email pics OfficialShew
positive,Heaos keen next weekend Mummy
negative,hate stupid boys arrgh
neutral,hi Fussy waves
negative,hope take quote personally throwing shoulda waited bit
neutral,
positive,sounds like great time
neutral,spelled name wrong message received http
neutral,email pics ur labtop wana put one background http
neutral,British Expat Tweet Tommy Giant Sprout Especially Fly part sprout seaso http
negative,Im going work married wud never see
negative,Weird Maybe updates sent phone Haha
neutral,http sleepover nobody stops camera hand
neutral,wish would rain
positive,Amazing day boyfriend good drummer
negative,pansy wtf codeh
negative,know hand comment would cause trouble upload House Music Beyond Vol
neutral,Going know taylor dolton jacob chris sister
positive,got back run feeling grrrrrreeeeeaat
neutral,come
positive,yes want keep going would
negative,Sunburn ouch
positive,Fun times friends beer pic http
negative,appears going home tomorrow good thing
positive,graduation ceremony starting really wish could
neutral,hahaha omg got hrs sleep
positive,LOVE MAKE HAPPY
positive,Thanks sending link
neutral,Arrrr better half made brekkie bed Weather gud Black Country let put dampers planned bbq
positive,wish u could rub head
negative,Yup loss
negative,sad miss grandma angie always like grandma
neutral,OHHHH REMINDS know one send toothpaste
positive,scanton farrr elaine got cartilage pierced cute
negative,Wake Please
positive,Would applaud sorts good theological psychological sociological reasons agree lighten
neutral,really alumnus know Macs yet
negative,im sorry
neutral,rained
negative,lol exams go mcast school finished form soo disappointed
negative,messages teasing isnt fair
neutral,way comment site unless member
neutral,asked SF schedule dahling maybe next time
negative,ack read show horrible accounting taste
positive,thx ur msg awesome luv new single xoxo
neutral,Urban Outfitters taunt amazing clothing way expensive
positive,last week interviewed told FB queen Glad see connected
positive,gon na ask wanted go CLUB Hidden House sat night hehe
neutral,Headed back Baltimore tonight
neutral,well thx getting early morning meeting wondering agreed like getting early
neutral,Writing making sense
negative,words counting hands hurt
negative,pop well feel lousier playing
neutral,laughed loud bus reading statement ethics People moved away
neutral,play Wish Jordan Knight
positive,Hi x websites soo cool love using Thank
neutral,ordered new shirt
positive,pretty soon gon na unfollow cut quickly growing love challenge
negative,OMggg heard someone gon na die new season secret life american teenager noooo
neutral,cant find shoes hope bad itll get im happy
negative,getting ready tonight teachers dinner beach raining hate
neutral,got
neutral,know told didnt want stay home lied really want stay home
negative,happy
neutral,haha think let topic drop quick poll would settle matter believe
positive,wish see clips show hosted Hottie Shawn yes still Hottie
positive,bright side school
neutral,must viewed picture saturday morning milling times x
neutral,listening watching boys Guitar Heroes
negative,turned fast food
negative,hate getting going stuff ice toe long story calpol cold soooo night xxxx
neutral,umm bout em aint get see da game see dey survived anotha game da series due notin Lebron im guessin
neutral,hey tried callin u wont let
negative,depressed watching think dance
neutral,home form school long weekend ppl would happy im im still mad sad
neutral,life exciting today someone close mardy bum starting rub
negative,misses Nanny
neutral,Catch later Terry
neutral,Kyle Cody wee bro
neutral,Oh understand French Well maybe exxagerated little bit lol want least years exp
neutral,pea plants
positive,thinks castles fun
neutral,anthony prom
neutral,home day scale one ten feel old compare haha cute
negative,move anywhere long freaking dishwasher despise dishes
negative,Im ok year old going driving crazy comes territory guess
negative,Poor Kella meds ear infection lost food twice doc
positive,Yes right church
neutral,Trying find someone go mall
neutral,please follow need followers haha
negative,hm still workin feelin awful
negative,totally forgot phone home morning
positive,Proud loves Carpenters
negative,feels sick stomach idkk whyy
neutral,work go
positive,cute twitting potuguese
neutral,Hey bud shot email
neutral,good yeah fine thanks dreading history tomorrow mood hyperactive year olds lmao
negative,ew sorry zach
neutral,know Im kidding
negative,http aww wonder hate us later lol
neutral,round
negative,hate bff groundedd boooooooooo
positive,Star Trek IMAX huge screen Still worth watching
neutral,Tis SharonP
negative,getting ready see cousins graduate gon na miss em
negative,shouldnt left
neutral,missing fun Eclipse SArmy SArmy SArmy
negative,head feels like surface sun underneath beaver pelt
neutral,LOVED Hell yeah Spend Day Studying plan happen
neutral,http forgot much like song
neutral,aww
neutral,cup tea
neutral,wait YouTube links
positive,Finished watching Episode Ruby Metaprogramming Screencasts Lots cool tips great need coding practices master
neutral,Going twitter english foreign followers
neutral,tell brandon said hi
positive,love site hoot really enjoy hair cuts Thailand always try time ir right thanks tip
negative,made work get feelin blurgh
neutral,Hehehehe u want torrent
neutral,way back home crazy night coast
negative,throat hurts sleep
neutral,Wow Hugh Jackman TOTALLY bulked Wolverine movie helloooo nurse dreeaamy Yup crushed spirit mend
neutral,haha
negative,im depressed pretty day Everyone either something bleh
positive,rain outside motivates sleep
neutral,ok spent like soundtracks galaxy class starship EVE online sigh
positive,HEY BUCK love u loads LOVE BUCK
neutral,Wow bed comfy nap much short Getting work want
positive,exams haha remembrd china buffet king yesterday vair amusing
positive,hmmm dollhouse sounds pretty good http think ima download try watching
neutral,lived usa would gotto go park aunty lives NYC bronx GRRR
negative,nig get without check LMFAO
neutral,SFTW pot tea
positive,thanks invite though
positive,LOOKED ABSOLUTELY BEAUTIFUL ELEGANT
positive,Thank much Natalie hope u well
negative,Please send youtube links Erin watched cooking get see cowboys
negative,work unfortunately
neutral,Early morning walkies really thing least vaguely warm
positive,get right think obsessed Hydes voice chosen guitar song learn summer Time perfect picking
positive,Good prices bulk SMS Premium SMS http
neutral,heading London meet let us know still sure time meeting
neutral,Actually post shows know happens overflow
negative,worse fever sore throat Cancelling trip see little bro fever sore throat
neutral,Case Gigolo Picolo
neutral,yeah im okayy lots happening anyone special moment
neutral,reconnecting amadeus friends
negative,Yea Headed home change head Pelham Sad thought suposed heading NKOTB concert
neutral,black good tight say tight good
negative,Aw says pic exist anymore
negative,Today lunch cuz wel embarrass self ok FINAL TESTS FINAL YEAR aaaaa thanx God friends
neutral,eating chocolate ready break
positive,newsreader filling blogs yay keep pm ing blog sites love reading
neutral,testing ymtumbkr iphone http
negative,home alone one left gummy bears
positive,back melly party fun sleepy
positive,Haha YAY CURED
neutral,guess type songwriter dreams great ones
neutral,know already two weeks
negative,Sick sick sick sucks even breathe properly
positive,Adding names Twitter account learning use amazing thing
positive,ooh thats early start ive got bed planned time ha LoveYouJonesy
neutral,allright pastor jiayou book
negative,Booo best friend leavin weekend ever without
positive,OH GOD OH GOD OH GOD New SUPERNATURAL starts tonight New Sam Dean Oh god breathe
neutral,never around quiz want water park tickets waaaa
negative,Hey wife die really confused MySpace little read Twit
positive,kind excited go school today dont know hopefully good day
neutral,Rainbow Unicorn film
neutral,keep reading contracts cataracts Someone bring panera
neutral,Guess internet house raises hand dial
negative,friend cancelled tomorrow nothing makes sad xxxxxx
negative,UGH BAD
positive,coming today could go graveyard HOORAYY
neutral,hair turn whiiite
negative,unfortunately drunk enough lol money get drunk alot though u imagine haha
neutral,Yeah prbly pickin songs SingStar checked last store updates dunno Cranberries song
negative,tonight bad night
neutral,Bristol ish LOVE brunch Sundays Ruth Chris good got sick
positive,mom world congratulations
positive,better hurry labeled copycats
negative,SOOOOO hungry right eaten wedding
positive,welcome twitter friend
positive,Happy mother dayyy Deniseee
negative,Ben Jerry fail Got email free ice cream Says click redeem coupon click get error message
negative,anyone else seen DM notification email says web cool accents weird online
positive,YAYAYYAYAYAY Toy Story coming June though
negative,straining hear hard way
negative,awwwh u stuck traffic booo
positive,Fear deserve alot care animals get food worry
positive,living empire hotel free bottle service ROCKS connections
neutral,Google Wave presentation http impressed nice really
positive,bud Kudos hardcore gym training great lifechanging experience keep
positive,brief brb goodnight catch u later got ta ck something
negative,still miss dont think coming back
positive,dude new Star Trek Burger King commercial Bud Light Burger King proud u man
negative,MAD HELL SOMEONE STOLE PINK BLACK LEAPORD PRINT PUMPS WANTED WEAR TODAY GOD GLORY BLESS ABUNDANTLY
neutral,didnt include Taylor Friday
positive,got new Silverstein CD aha AMAZING highly recomend
neutral,chris came exactly one hour moped around left ended falling asleep
neutral,bum today
neutral,went cd store search cd
positive,big welcome Twitterlandz grrl Really wish could made Bettie show glad hear success
neutral,listening Lamb God
negative,Spilled chocolate milk car
neutral,hubby promised job promotion move signed new lease n withdrew promotion
negative,plus deposited tax return cheque first time years clear immediately
neutral,LOVE getting gifts mail wonderful friends back home miss Myrtle Beach much little homesick today
neutral,tomorrow going sooo awkward embarassing lights sounds last night awesome
negative,Still feeling weird ex engagement mom made things worse even want still odd
neutral,band Hawaii Sublime sound sublime haters move along http
neutral,Hockey good hole xD
positive,Shop smart Shop Mart
neutral,yes meant anything turn Hirigana though
positive,INCREDIBLY sweet good Hubby
negative,caught tweets got home time last mins show bgt tonight miss
neutral,lunch people aikido
neutral,bad come Enjoy urself tho
neutral,Watching ET today Supposed clip New Moon Hating Drag Hell
negative,Oh god literally drove rain hard see front shaking
neutral,mi sausage
neutral,got sniffle got kids hubby left work Sydney weekend boo hoo
neutral,house probably resembling kind heaven maybe Ciaran angels moved hence inability locate
positive,Good hear several peeps working tonight
positive,hope
neutral,Actually think upset lost data Cake Mania pretty far game
neutral,Boo DLP sold
positive,saw Star Trek AMAZING Seriously good entire cast excellent Spock Kirk especially want see
negative,aww miss USA
negative,seriously quiet lonely without Bunny
neutral,ROTC brought climbing wall work coworkers try climb wanted forgot climbing shoes home today
positive,break Back books fun lovelies http
neutral,Downing glass ginger ale relishing early evening bed Said Lifetime
neutral,Watching fireworks Bay bridge
neutral,Yepp Like Dylan Cole Better
negative,still freakin missing game jonasnewsongs
neutral,yeah still totally high soooo notlooking forward aug sept
neutral,Dang left Rolando dinner leftovers home knew put shop fridge last night left downtown
positive,worries
negative,sad going miss seeing Pennywise year
positive,haha Thanks Shannon boats got first
neutral,watching love almost died MEANS NOTHING
neutral,woke hour early study test
neutral,open hope shortly guarantees though
neutral,work boo playing Uncommon Ground Wednesday night Devon Chicago
neutral,got shower
neutral,back meeting mins
positive,Even would better
neutral,Pinkwind thing Vanessa dad sister made SN grade
neutral,cant change profile picture Facebook
negative,lookd soo freaked poor wee thing
positive,omgoodness FINALLY back dinner fam bam
neutral,try dl sims realize pc meet standard requirements need new pc lol
positive,happy clean squeaky clean
neutral,Chase Shea Fisher download
neutral,Hmm Whilst walking city received inviataion SUV Limo via prom fellows dates Oh boys
negative,sickkk two days since summer started suck already
neutral,retro prom wishing dance gon na miss great dancing still blast drinks
neutral,chose iphone http
negative,got fight ryan hes like crying im dead inside sigggh
neutral,Adams morgannnn jumbo slice
neutral,matter
neutral,name label picture hadnt added took http picture
neutral,still need see movie vampires
positive,happy Friday weekend everyone TGIF nothing
neutral,Yeah seen funny Hey honey Jill sent box
neutral,JT SNL tonight
positive,Studio Ghibli year Ponyo http always seems perfect waiting till august
neutral,going sleep Tomorrow Exam Review
negative,Brian cat still shown feel sad sick afraid eaten something look good
negative,Missing Nate usual tonight
neutral,anyone got FFE account add
neutral,one guys time shortie short photofollows
negative,Birthday tomorrow jack weekend
negative,Come Never Sleep Past Good
positive,snuck window im laying roof looking stars nice night tonight
positive,downloaded ton stunning BEAUTIFUL wallpapers go look
neutral,one goes Jimmy Fallon Justin Timberlake doin Gibb Bros show SNL http
neutral,really really bored bad know news thats BRB x
neutral,relaxing practice graduation
positive,oil incense surge popularity mostly among devotees free love hippie lifestyles
positive,hi godd day eweryone im reel good mood day
neutral,Whoo BGT really must Art work time though back College Monday
neutral,According Mick Jagger Hindu Ragas sfs sort music
negative,takes big man type sad tweet like
neutral,better throwing
negative,going stuck seem misplaced remote extra bad tonight well
positive,Big Thanks Melody Got ta love vit
positive,got baby g wach zi lady gaga wears eh eh film clip pink LOVE KAY thanks heap win olivia
positive,Hey Let Follow awesome
positive,loving shoes perez looking fine always oh lady gaga say Outstanding
neutral,evening picking n pop go dinner Ta Lum Tum Tum Major Avenue decided go home clubing tonite
neutral,Paper writing til heart content
positive,awww sweetie hope mom wonderful mother day
neutral,yeah dude Mike
positive,great movie best Welsh flatmate
negative,got headache hard work today still ready Heineken trying finished
neutral,Rachel going lunch baixa lot stuffs Wan na come
neutral,got gym energy
negative,Im sad cant go makes sad
neutral,going try warm milk lactose intolerant haha
neutral,picture showing
neutral,take mum jewellery shopping coffee mothers day
positive,bring HK lounge tomorrow drink till kareoke think nice Sunday
negative,oh completely forgot Thirsty Thursday oh gaga sucks
neutral,wan na feel chin
positive,haul slideshow fun http
positive,feeling great
negative,AHHHHHHHH get miley notice
positive,Coffee brewing musicmonday morning listening fray good week
positive,Wan na JET Mirage get Hawaii either Someday Much Love
positive,finished yet another amazing book Susan Elizabeth Philips God love books much one read next hmmm
negative,seriously screwed studied
neutral,well retired drummer drum roll need read posts since take ton time lol
neutral,new Twitter
negative,tired heck wan na go home sleep cant cause im wash till daddy gets work
neutral,surfin
neutral,see Star Trek sleep much action wind
neutral,got freakin macbook hoorayyy freakin deleted phootbooth
neutral,exagerrated Twitter bad guess
positive,HAPPY MOTHERS DAY Tell ur mom awesome madre great example Archuleta familia
positive,Good morning however night time bed hugs great day
positive,know extremely happy change world want anybody else
positive,Getting FAB portraits ready upload today
positive,DSL Welcome
negative,Missing mom today made every year get flowers together yr alone Felt weird
negative,hot room wan na go swimming
neutral,got pool still boxed need level suitable patch ground set
positive,http OOO wish hot
neutral,new found respect know know Konami code
neutral,work mo sunny today see band tonight
neutral,Ace exams
negative,sooo hot Put ton sunblock jogging still think face burnt though
neutral,name Jason sunshine works
negative,took forum access away fail
neutral,lied last weekend said get upset FYI
positive,hahaha Guess reinforce skates haha Remember u r friend gluten intolence
neutral,yeah want know
negative,day goes think im gon na write song still thinking impossible get true friend
positive,OMG meant perfect Wolverine sir hehe
neutral,hanging babyy
neutral,yet early
neutral,oh god whose tire
neutral,arabic girl online every one sleep
neutral,ate Something know keep Telling things food
neutral,Good morning soooo tierd
neutral,get
neutral,wan na tonight
neutral,going BED Brain focus Need fresh new start pray God grants fresh tomorrow
positive,well nothing flash different chocolate change good meet U yesterday atmosphere discussion
negative,took antibiotics still feel like
neutral,guys lived city paris u spend entire life trafficjam grrrr used anymore
negative,Nomore adventure time
positive,happy bank holiday Monday Tweeteramas spending day yoga OCD attacks
negative,Laura gone weekend miss already
positive,nutella lovely stalk iris breakfast bed courtesy N house til noon
negative,Whuuurrrrr glands really swollen Guess weekend blow
neutral,spare time seems twill spent homework weekend
negative,LAZZZZZZZZZZZZZZZY MONDAY Bank Holiday Nicole u direct msged yet
positive,Yummy mother day mum dad arcel yuuuuuum http
positive,things Twitterer could without http SRC like guy
neutral,wan na BEA well
neutral,lol u
negative,stupid wireless
negative,HAHAAH Crys blowing fuses typical move
negative,spirit week Tuesday make eight die later School wednesday thursday finally sleep Friday
neutral,http Ready Jonas Brothers Experience Real Brothers included
neutral,saw thumb playing Virtua Tennis
negative,sorry Parents coming around gon na eat Richardson RAAAAIN CHEEECK
negative,saw dooope bmw series parked top back bad raining
neutral,Laundry time LOTS
positive,ha ha thankful dragging mountain today
positive,great time mpix shootout great thanks mpix
positive,Weather lovely headed home via supermarket Planning spend quality time knitting tonight
negative,sad ending softball season
positive,Women Science Technology conference La Jolla interesting day Met really great people
neutral,Well gon na fit big long advertisement
negative,Musem equaled FAIL hall life closed cause construction
positive,joined twibe Visit http join spinner KNOW RESPECT spinners need coffee
positive,http gon na miss guys much Thanks making years senior school amazing
positive,Good Night
neutral,rain doesnt go away staying bed week til Mommy gets
positive,much enjoyed name article
neutral,yeahh
positive,hours till Mothers Day Party Yeah
neutral,arrr bummer want win
negative,eating roommate cereal sorry bro
positive,Good news tooth
negative,Yeah behind classic cinema time go see anyway
positive,Aww little girl Britain Got Talent actually love Ant n Dec Oh Simon Cowell
neutral,done classes freshman year
positive,amazing due time constraints could visit meadows pine forest Shall post images later
neutral,http press previous page
neutral,wrong shamefully loved show able watch
positive,LOVE LOVE SAY LOVE
neutral,favorite spotters last tweet go phone
positive,eeek coming Im soo excited see Thursday
neutral,Thanks annoying
neutral,tired phone Walkman works like charm l need better video wap really Thanks yesterday buying album
neutral,biggest crush Pink know alive
positive,Happy Mother Day everyone
positive,Emergency Radio iPhone awesome listening Johnson County Sheriffs live scanner stream
positive,thanks much belated followfriday shout payingitforward
positive,Mommas day may forget something nice mommyyy
negative,brah u happy
positive,hah knock wood PC never crashed yet laptop careful stuff maybe
neutral,history
positive,happy birthdayyy hope awesome day see next last night
neutral,oprah guest ever saw one http
neutral,haha shaved facial hair except moustache cause thought would cool made look gross
neutral,new Delerium music video http mixed Tiesto guess Bill Leeb finally forgot music roots
neutral,alexander course dinner wearing someone elses red wine
neutral,Nice days like make miss Alki
neutral,really new people dunno em said try
neutral,concert hope makes guest appearance
negative,though lol work miss blah Wut cha
negative,keep trying invite think afraid
positive,thanks followfriday see us South Africans holiday fri
negative,ahhh u know really sucks sprained toe OUCH
neutral,july
negative,denomination library everything blocked
neutral,Emoticons Christian http
positive,Good luck services tomorrow wish could see guys vacation
negative,Hey sorry got last night
positive,Yo Thomas thanks follow Social Media Director Disney awesome like learn Lets lunch
negative,Gosh miss singer theater miss learning music acting exercises n ESPECIALLY miss onstage
positive,Good episode Top Gear tonight
negative,awhile ago freaking hot wet turn
neutral,sad tweet twitter someone misspronouncing word kto make fit card would tweeted
positive,ta babe know love curried
neutral,Nooooo Dont Dare Lol Im Gon na Cry Hair
neutral,found thing looking
negative,sad pay
negative,made vid proving skiLLs denied step dad said disown posted sowey
positive,aww helpful getting sweepy sis says whipped cream bed save u
neutral,Perth Ford Falcon new ad received posted HCC site soon
negative,doneeee wheeee hahaaaaaaaa tired sleepy peter u suck coming bday
positive,Monday morning bathing soooo relaxing lady luxury would start every day like
negative,msn crashes way much hmph
negative,Im angry right today im doind nothing classmates yes think stay friend hope
positive,social saw Awwww
positive,hey thanks follow
positive,Enjoyed Star Trek please
neutral,baby GOD SAD REALLY oh well lifes partaaay xxxxxxxxxx
negative,sleep darn frustrating
negative,want complete hypocrite attended event timing ironic
neutral,Hey write yet Little girl middle ride
neutral,http one prized dunno others published prolly google
positive,awarded first ever credit card
positive,tts ridiculously sweet
negative,sorry hear
positive,hey pretty good sucking daughter exactly glad see alone Good luck mom
neutral,Lester Guessed think something cop outs
neutral,Starting accounts year
positive,says Happy Mother Day Moms
neutral,Yay particular
neutral,work watch later even though
negative,Oh final msg review boardgame telly even get nice letter
positive,staying afterschool today tell em text lol likin us
neutral,WIDE awake scoffed pizza feel like sumo weak day Run tomorrow
neutral,ill post
positive,honor
negative,Man boring today tweeting guys
neutral,yes twins wontt watching
negative,Cut thumb saw small metals
positive,loving Mortal Combat right
negative,Sbarro dinner Krispy Kreme dessert Mmmmm healthy
negative,depressed ugh HELP
negative,spellingis awful twiiter
positive,snowbear finally come congrats che warren
neutral,Oh stopped
negative,Start diet today think face never get back unless cut leg
positive,mmm pizza dinner yum burnt mouth though
negative,screw fact post LONG updates twitter
negative,awake hate sickness
neutral,beat understand
positive,Inspired blog something inspirational Haha
positive,Happy Mother Day everyone mothers grandmothers great grandmothers WOMEN salute
negative,storm Power keeps going sucks
neutral,tweetup loc recognize anyone outside turquoise shirt Please see
positive,awwww yur awesome mother keep good work
negative,Pissed bluetooth headset battery lasted cell battery Gg moto q
neutral,Please get watching BB
negative,ayy fml nothing perfect
neutral,day started wonderful kids crying kitty missing got back posting signs around
neutral,love Dawn Chorus noisier better miss Church Bells crazy know going cycle friend
neutral,sure real state market moving confused either hold go ahead plans
neutral,know annoying theres german saying pleasant anticipation greatest pleasure translation
negative,friend requests tomorrow blaming nite
positive,Namaste Hooray Monday Undaunted wakeup consider London feel justified Bright side everything
negative,Listening Busted miss
positive,Great idea
positive,want sleep XD song head make crazy dont know write song hahhaha
positive,would one plese suggest great thriller movie
neutral,Denny shut winter miles get one
negative,Yes think unless changed sent u happy mothers day text u never responded back
neutral,One kits brought mouse eating lobby sure feed enough
negative,didnt even finish cleaning room cuz went party ahhhh STILL MESSY
neutral,DIDDDD MET
positive,unfair good rock shows happen B lore Pune
positive,knackered awake since sleep started work coffee toast sounds awesome chris busy
positive,care netsexor cams route heaven however lobster sounds super good almost tempted go get
positive,Nevermind Beyonce Twitter Haha
neutral,LOL buy u big star wars pants Xmas
positive,ever turn part brain talks fun comes
negative,sabido nada de ti making bit sad must say
negative,missed math trade
positive,Wellington Monet Exhibition Casually bumped Wayne Brady hotel lobby Mega exciting
neutral,bed girls
neutral,
positive,like
neutral,think blog list
negative,going die tomorrow night
neutral,hell yeah missed u last nite lol u like opinion
negative,Nooooo Working weekend
neutral,Pair Fringe Tuesday smells like win imo well
neutral,Last scheduled corn dog oc shift
neutral,Finally finished exams home watch Otalia PBP BPD Otalia today hmm via http
neutral,getting ready day work till close
positive,Justin Timberlake Andy Samberg Mother Lover skit SNL great
neutral,want text first everyday
neutral,yeahh two times stood next special times
negative,thought id tanned hour sun wrong burnt
neutral,songs tays vid katy perry
negative,work Disney cracked ta
negative,WTF rehearsal got space room booked brothers stuff right cant transfer another room studio
negative,broken c
neutral,http saying something fully understand please let know
neutral,sure get tweetdeck work computer want know hype
neutral,mega burguer lunch yesterday
neutral,Whoooooo gettin extra hours today afterwards gon na see get marigolds mum
neutral,bored cold tired lethargic feeling Man great holiday monday
neutral,might also want include wear moonwolf
neutral,go ticketmaster site says lisa williams events found
negative,hey guys sun make day gloomy
negative,texting friends bored gosh hate rain
neutral,replacement iron ring arrived shiny bit jagged original
neutral,Shopping
negative,yup working recover anything though
negative,rearry rip Youd never guess ate
positive,Well following think interesting right
positive,love see
positive,thank Eric glad u appreciate
negative,hours work cry survive Weeelcome wonderland sing along
negative,anyone tickets mtv movie awards guy scammed
neutral,Beyonce helps day starting get sick
neutral,fine ill get miso soup street
negative,nothing evening MISSING LIFESTORY
neutral,awesome ruined white clothes never remember separate
neutral,weird waking bed Slightly comforting miss group loving using pillow
neutral,skipped could get messy ROFL
positive,computer geek entertaining think
negative,miss
positive,good sentence
negative,making people unhappy dun like unhappiness
negative,Oh god look use Twitter hopeless
negative,studying econ test
positive,problem think great thing reflect
neutral,yeah hope turns minutes
neutral,see unveiling new LR arrangement official event planned
negative,im sick fell last night outside coz putting something bin
neutral,hear think layout either lol trying dont know long
neutral,Yay got Internet itouch working
positive,Nice Elise rolled Thas wassup fun ladies
positive,safe ride coast going even though windy smile cuz u know u better
positive,Sleep take two better work
negative,wear glasses today cos right eye swollen know
neutral,lafff rain
positive,love boy makes happy looks sexiest plain black boxers
neutral,grrrrrrrrrrrrrr ive barely read
neutral,http Rocksteady pt II
positive,WOOHOOO cool see knew u would get see
neutral,convention http look great year going vegas sounds much fun
negative,Yes blame
neutral,picture Zack Saved Bell http
negative,fix guess write get bored watch tv Man lame
positive,wishes happy mothers day moms
positive,Potter also category Hehe love much
neutral,google maybe actually knew answer lol ps put uo pics already last night im getting anxious
positive,SUPER EXCITED BOUGHT TIX SEE HEY MONDAY DENVER CO
neutral,woop right get sleep haha hot good nightt x
positive,neither getting better
positive,try fireflight first female fronted metal awesome Unbreakable album would good start
neutral,Hows possible rain forecast Pinkpop ticket
negative,sure tweet business simple things difficult
neutral,june chino hills CA day rained n june SoCal outside grad move gym
positive,walking streets Harlem Home sweet home
neutral,Rod stewart new song
negative,like clarify unable acc review vibrators testrun invitaiton freebies
negative,Momma martini went food shopping without
negative,live small markets deliver bread food bank times really tough even
positive,Good Morning Friday start work week Lakers going take W tonight Woohoo GO LAKERS
negative,really tired work whole day tomorrow thought depresses uncoooool
negative,James Cameron touches something revolutionizes someone else comes along
negative,KNO im sad leavin horrible im supposed b happy summer cant ima miss
neutral,nachos tudors think
positive,Good morning Dan Bday plan getting exercise today Love ya See NYC
neutral,found friend son fell shaft onto concrete today alive least know much else
negative,tired sad
negative,gone
neutral,fault
positive,http wish calling Malta
negative,hardly worked last two weeks losing weight Fear losing muscle made doc appt injured foot
positive,u say shoutout NIKKI please Soulja Boy Tell Em LIVE live http
neutral,hide berry like slave REGULARLY today caught massa im def light enough juice pouring slave
positive,diamond yaayy tomorow DIAMOND DANCE best Still
neutral,Sitting waiting go gym almost left realized never charged iPod trip Wisconsin dead
positive,Fighter Christina Aguilera LOVE song
neutral,warmed nicely outside sucks stuck inside coding
neutral,http Sunny day vivocity yupz showered Runs airconditioned mall
positive,know law rebel small things
positive,Thanks TweetStats confirmed long suspected Twitter keeping way late ht http
positive,BabyLove em homenagem ao Baby
negative,going Oxford Internet Institute Sunner Doctoral Programme Brisbane lack funding
neutral,saw movie
positive,ur pic nice look cute oh
positive,watching film recovering operation
negative,day computer end Dang hate allowed computer
negative,going kill wasted hundreds download realised got wrong one
neutral,Guys follow RX Twitterwar DD GO GINOOOO
negative,School going absolutely horrible today Peace
negative,http LUCKY jealous even though like much
negative,sadface
neutral,get feeling going make wait get home tell denied vittles BWW
negative,Oops completely forgot
neutral,problem least look floor see banana skin brains step almost got killed
negative,dam missed hollyoaks
negative,relisting fees complete sale sucks
positive,IMHO soft best keep chaos straight http
neutral,childish lol cos one said pic Jake earth made vomit
negative,err think like bucks ticket cause expensive
neutral,Aww Stanley still got live like years right x
positive,http leon looks supa fly mini couch
positive,Hey Brian Littrell doesnt really like kinda pages rigth kisses loev guys
positive,go uga liked better knew Ha
negative,trouble breathing pain fever
negative,feel deflated Ugh dog
positive,Hey Donna lovely see Twitter
positive,read something happy
neutral,Good morning RSA Twitterverse Please send happy vibes cheerfulness today feeling little sad
neutral,CloneCloud actually distant processor provisioning like idea http
positive,Well nice Loving new Friends organiser
neutral,recession
positive,REEEALLY wish could n goin lately
neutral,also swirly flat white
positive,posted world Pinhole day Love picture http
neutral,oh poor atleast get paid staying back
neutral,Ghunghte Mein Chanda Hai Phir Bhi Hai Phela Chaaron Aur Ujala love songggggg ps got lost morrisons
positive,look sooooo pretty love dang wish NY could c u ur thang
neutral,lmao yep
negative,Aaaaaaaa hate winshit
negative,Ugh hate car miss little ford focus
positive,every mom mommy mother Happy Mother Day Hope something special fun today
neutral,go work
positive,soo love beyonce song
neutral,back pakistan http
neutral,
neutral,Huge headache goodnight
negative,sucks
neutral,said
